prototype,index,kind,tag,subtype,value
0,0,string,0,0,Options
0,1,string,0,0,Toggles
0,2,string,0,0,ShowToggleFrameInKeybinds
0,3,boolean,5,,True
0,4,string,0,0,ShowCustomCursor
0,5,boolean,5,,False
0,6,string,0,0,NotifySide
0,7,string,0,0,Left
0,8,string,0,0,game
0,9,string,0,0,GetService
0,10,string,0,0,ReplicatedStorage
0,11,string,0,0,Players
0,12,string,0,0,LocalPlayer
0,13,string,0,0,RunService
0,14,string,0,0,Workspace
0,15,string,0,0,VirtualInputManager
0,16,string,0,0,Character
0,17,string,0,0,Humanoid
0,18,string,0,0,FindFirstChild
0,19,string,0,0,HumanoidRootPart
0,20,string,0,0,CharacterAdded
0,21,string,0,0,Connect
0,22,string,0,0,Files
0,23,string,0,0,WaitForChild
0,24,string,0,0,Framework
0,25,string,0,0,Network
0,26,string,0,0,RemoteFunction
0,27,string,0,0,Cleanup Duty
0,28,string,0,0,Hold the line
0,29,string,0,0,Hold the Line
0,30,string,0,0,Aftermath detail
0,31,string,0,0,Aftermath Detail
0,32,string,0,0,CreateWindow
0,33,string,0,0,Title
0,34,string,0,0,Neptune - Devil Hunter
0,35,string,0,0,Color3
0,36,string,0,0,fromRGB
0,37,int,1,1,0
0,38,int,1,1,255
0,39,int,1,1,196
0,40,int,1,1,147
0,41,string,0,0,Center
0,42,string,0,0,AutoShow
0,43,string,0,0,Resizable
0,44,string,0,0,UnlockMouseWhileOpen
0,45,string,0,0,TabPadding
0,46,int,1,1,8
0,47,string,0,0,MenuFadeTime
0,48,number,4,0,0.2
0,49,string,0,0,AutoFarm
0,50,string,0,0,AddTab
0,51,string,0,0,Main
0,52,string,0,0,Combat
0,53,string,0,0,Visual
0,54,string,0,0,Player
0,55,string,0,0,Raid
0,56,string,0,0,UI Settings
0,57,string,0,0,AddLeftGroupbox
0,58,string,0,0,Teleport
0,59,string,0,0,Eternity Devil Raid
0,60,string,0,0,AddRightGroupbox
0,61,string,0,0,Katana Devil Raid
0,62,string,0,0,Cool Raid Stuff
0,63,string,0,0,GodMode
0,64,string,0,0,AddLabel
0,65,string,0,0,No Position Set
0,66,string,0,0,AddButton
0,67,string,0,0,Text
0,68,string,0,0,Set Position
0,69,string,0,0,Func
0,70,string,0,0,AddToggle
0,71,string,0,0,godModeV2
0,72,string,0,0,GodMode V2
0,73,string,0,0,Default
0,74,string,0,0,Callback
0,75,string,0,0,AddInput
0,76,string,0,0,raidMainName
0,77,string,0,0,
0,78,string,0,0,Numeric
0,79,string,0,0,Finished
0,80,string,0,0,ClearTextOnFocus
0,81,string,0,0,Main Player Name
0,82,string,0,0,Tooltip
0,83,string,0,0,Main Account to Send into Raid
0,84,string,0,0,Placeholder
0,85,string,0,0,Input Player name
0,86,string,0,0,raidAltName
0,87,string,0,0,Alt Player Name
0,88,string,0,0,Alt Account to Auto Accept Invite
0,89,string,0,0,AddDropdown
0,90,string,0,0,raidType
0,91,string,0,0,Values
0,92,string,0,0,Eternity
0,93,string,0,0,Katana
0,94,string,0,0,Zombie
0,95,int,1,1,1
0,96,string,0,0,Multi
0,97,string,0,0,Raid Name
0,98,string,0,0,CFrame
0,99,string,0,0,new
0,100,number,4,1,-2752
0,101,int,1,1,144
0,102,string,0,0,DialogName
0,103,string,0,0,Mysterious Hotel
0,104,int,1,1,379
0,105,int,1,1,9
0,106,int,1,1,944
0,107,string,0,0,Yakuza Infiltration
0,108,int,1,1,37
0,109,int,1,1,10
0,110,number,4,1,-1443
0,111,string,0,0,Zombie Devil Warehouse
0,112,string,0,0,infiniteRaid
0,113,string,0,0,Auto Launch Raid [Alt Account]
0,114,string,0,0,infiniteAltRaid
