opcode,name,count
0,OP_000,718
1,OP_001,605
2,OP_002,650
3,OP_003,478
4,OP_004,545
5,OP_005,343
6,OP_006,323
7,OP_007,396
8,OP_008,305
9,OP_009,224
10,OP_010,190
11,OP_011,312
12,OP_012,272
13,OP_013,270
14,OP_014,136
15,OP_015,135
16,OP_016,153
17,OP_017,196
18,OP_018,203
19,OP_019,196
20,OP_020,175
21,OP_021,160
22,OP_022,118
23,OP_023,84
24,OP_024,83
25,OP_025,98
26,OP_026,98
27,OP_027,52
28,OP_028,91
29,OP_029,48
30,OP_030,47
31,OP_031,69
32,OP_032,49
33,OP_033,59
34,OP_034,52
35,OP_035,72
36,OP_036,32
37,OP_037,63
38,OP_038,50
39,OP_039,51
40,OP_040,46
41,OP_041,46
42,OP_042,38
43,OP_043,45
44,OP_044,45
45,OP_045,21
46,OP_046,39
47,OP_047,34
48,OP_048,32
49,OP_049,16
50,OP_050,18
51,OP_051,25
52,OP_052,19
53,OP_053,18
54,OP_054,18
55,OP_055,15
56,OP_056,14
57,OP_057,5
58,OP_058,5
59,OP_059,9
60,OP_060,7
61,OP_061,7
62,OP_062,7
63,OP_063,6
64,OP_064,7
65,OP_065,6
66,OP_066,6
67,OP_067,6
68,OP_068,6
69,OP_069,5
70,OP_070,3
71,OP_071,3
72,OP_072,4
73,OP_073,5
74,OP_074,4
75,OP_075,3
76,OP_076,3
77,OP_077,4
78,OP_078,4
79,OP_079,4
80,OP_080,4
81,OP_081,2
82,OP_082,3
83,OP_083,1
84,OP_084,1
85,OP_085,1
86,OP_086,1
87,OP_087,1
88,OP_088,1
89,OP_089,1
90,OP_090,1
91,OP_091,1
92,OP_092,1
93,OP_093,1
94,OP_094,1
95,OP_095,1
96,OP_096,1
97,OP_097,1
98,OP_098,1
99,OP_099,1
100,OP_100,1
101,OP_101,1
102,OP_102,1
103,OP_103,1
104,OP_104,1
105,OP_105,1
106,OP_106,1
107,OP_107,1
108,OP_108,1
109,OP_109,1
110,OP_110,1
111,OP_111,1
112,OP_112,1
113,OP_113,1
114,OP_114,1
115,OP_115,1
116,OP_116,1
117,OP_117,1
118,OP_118,1
119,OP_119,1
120,OP_120,1
121,OP_121,1
122,OP_122,1
123,OP_123,1
124,OP_124,1
125,OP_125,1
126,OP_126,1
127,OP_127,1
128,OP_128,1
129,OP_129,1
130,OP_130,1
131,OP_131,1
132,OP_132,1
133,OP_133,1
134,OP_134,1
135,OP_135,1
136,OP_136,1
137,OP_137,1
138,OP_138,1
139,OP_139,1
140,OP_140,1
141,OP_141,1
142,OP_142,1
143,OP_143,1
144,OP_144,1
145,OP_145,1
146,OP_146,1
147,OP_147,1
148,OP_148,1
149,OP_149,1
150,OP_150,1
151,OP_151,1
152,OP_152,1
153,OP_153,1
154,OP_154,1
155,OP_155,1
156,OP_156,1
157,OP_157,2
158,OP_158,1
159,OP_159,1
160,OP_160,1
161,OP_161,1
162,OP_162,1
163,OP_163,2
164,OP_164,1
165,OP_165,1
166,OP_166,1
167,OP_167,1
168,OP_168,1
169,OP_169,1
170,OP_170,1
171,OP_171,1
172,OP_172,1
173,OP_173,1
174,OP_174,1
175,OP_175,1
176,OP_176,1
177,OP_177,1
178,OP_178,1
179,OP_179,1
180,OP_180,1
181,OP_181,1
182,OP_182,1
183,OP_183,1
184,OP_184,1
185,OP_185,1
186,OP_186,1
187,OP_187,1
188,OP_188,1
189,OP_189,1
190,OP_190,1
191,OP_191,1
192,OP_192,1
193,OP_193,1
194,OP_194,1
195,OP_195,1
196,OP_196,1
197,OP_197,1
198,OP_198,1
199,OP_199,1
200,OP_200,1
201,OP_201,1
202,OP_202,1
203,OP_203,1
204,OP_204,1
205,OP_205,1
206,OP_206,1
207,OP_207,1
208,OP_208,1
209,OP_209,1
210,OP_210,1
211,OP_211,1
212,OP_212,1
213,OP_213,1
214,OP_214,1
215,OP_215,1
216,OP_216,1
217,OP_217,1
218,OP_218,1
219,OP_219,1
220,OP_220,1
221,OP_221,1
222,OP_222,1
223,OP_223,1
224,OP_224,1
225,OP_225,1
226,OP_226,1
227,OP_227,1
228,OP_228,1
229,OP_229,1
230,OP_230,1
231,OP_231,1
232,OP_232,1
233,OP_233,1
234,OP_234,1
235,OP_235,1
236,OP_236,1
237,OP_237,1
238,OP_238,1
239,OP_239,1
240,OP_240,1
241,OP_241,1
242,OP_242,1
243,OP_243,1
244,OP_244,1
245,OP_245,1
246,OP_246,1
247,OP_247,1
248,OP_248,1
249,OP_249,1
250,OP_250,1
251,OP_251,1
252,OP_252,1
253,OP_253,1
254,OP_254,1
255,OP_255,1
256,OP_256,1
257,OP_257,1
258,OP_258,1
259,OP_259,1
260,OP_260,1
261,OP_261,1
262,OP_262,1
263,OP_263,1
264,OP_264,1
265,OP_265,1
266,OP_266,1
267,OP_267,1
268,OP_268,1
269,OP_269,1
270,OP_270,1
271,OP_271,1
272,OP_272,1
273,OP_273,1
274,OP_274,1
275,OP_275,1
276,OP_276,1
277,OP_277,1
278,OP_278,1
279,OP_279,1
280,OP_280,1
281,OP_281,1
282,OP_282,1
283,OP_283,1
284,OP_284,1
285,OP_285,1
286,OP_286,1
287,OP_287,1
288,OP_288,1
289,OP_289,1
290,OP_290,1
291,OP_291,1
292,OP_292,1
293,OP_293,1
294,OP_294,1
295,OP_295,1
296,OP_296,1
297,OP_297,1
298,OP_298,1
299,OP_299,1
300,OP_300,1
301,OP_301,1
302,OP_302,1
303,OP_303,1
304,OP_304,1
305,OP_305,1
306,OP_306,1
307,OP_307,1
308,OP_308,1
