prototype,pc,opcode,name,A,B,C,D,mode,flag,flag_b,flag_c
0,1,161,OP_161,5,1,1,0,0,False,False,False
0,2,2,OP_002,5,0,0,0,0,False,False,False
0,3,162,OP_162,1,1,5,0,0,False,False,False
0,4,0,OP_000,6,1,43,0,0,False,True,False
0,5,7,OP_007,5,2,6,0,0,False,False,False
0,6,16,OP_016,256,2,0,0,0,False,False,False
0,7,155,OP_155,7,23,0,256,0,False,False,False
0,8,4,OP_004,7,2,36,0,0,False,True,False
0,9,16,OP_016,257,2,0,0,0,False,False,False
0,10,154,OP_154,6,43,27,257,0,False,False,False
0,11,7,OP_007,6,2,7,0,0,False,False,False
0,12,3,OP_003,"[7, 8]","[3, 4]",None,None,2,False,False,False
0,13,1,OP_001,2,7,8,0,0,False,False,False
0,14,3,OP_003,"[7, 8]","[5, 6]",None,None,2,False,False,False
0,15,16,OP_016,258,2,0,0,0,False,False,False
0,16,153,OP_153,2,-32,43,258,0,False,False,False
0,17,1,OP_001,2,7,8,0,0,False,False,False
0,18,3,OP_003,"[7, 8]","[7, 8]",None,None,2,False,False,False
0,19,1,OP_001,2,7,8,0,0,False,False,False
0,20,57,OP_057,7,9,72,98,0,False,True,False
0,21,31,OP_031,9,10,73,112,0,False,True,False
0,22,5,OP_005,7,7,9,0,0,False,False,False
0,23,6,OP_006,"[7, 8]",None,None,None,3,False,False,False
0,24,8,OP_008,9,11,2,0,0,False,False,False
0,25,24,OP_024,7,3,2,0,0,False,False,False
0,26,17,OP_017,8,9,216,0,0,False,True,False
0,27,16,OP_016,260,2,0,0,0,False,False,False
0,28,152,OP_152,6,14,-15,260,0,False,False,False
0,29,4,OP_004,10,10,47,0,0,False,True,False
0,30,5,OP_005,8,8,10,0,0,False,False,False
0,31,6,OP_006,"[8, 9]",None,None,None,3,False,False,False
0,32,8,OP_008,10,12,18,0,0,False,False,False
0,33,24,OP_024,8,3,2,0,0,False,False,False
0,34,0,OP_000,10,13,43,0,0,False,True,False
0,35,7,OP_007,9,8,10,0,0,False,False,False
0,36,17,OP_017,10,9,216,0,0,False,True,False
0,37,0,OP_000,12,10,43,0,0,False,True,False
0,38,5,OP_005,10,10,12,0,0,False,False,False
0,39,6,OP_006,"[10, 11]",None,None,None,3,False,False,False
0,40,8,OP_008,12,14,72,0,0,False,False,False
0,41,24,OP_024,10,3,2,0,0,False,False,False
0,42,16,OP_016,261,2,0,0,0,False,False,False
0,43,151,OP_151,50,44,0,261,0,False,False,False
0,44,19,OP_019,11,9,31,0,0,False,True,False
0,45,0,OP_000,13,10,43,0,0,False,True,False
0,46,5,OP_005,11,11,13,0,0,False,False,False
0,47,6,OP_006,"[11, 12]",None,None,None,3,False,False,False
0,48,8,OP_008,13,15,69,0,0,False,False,False
0,49,24,OP_024,11,3,2,0,0,False,False,False
0,50,17,OP_017,12,9,216,0,0,False,True,False
0,51,16,OP_016,262,2,0,0,0,False,False,False
0,52,150,OP_150,14,-37,20,262,0,False,False,False
0,53,4,OP_004,14,10,7,0,0,False,True,False
0,54,5,OP_005,12,12,14,0,0,False,False,False
0,55,6,OP_006,"[12, 13]",None,None,None,3,False,False,False
0,56,8,OP_008,14,16,50,0,0,False,False,False
0,57,24,OP_024,12,3,2,0,0,False,False,False
0,58,16,OP_016,263,2,0,0,0,False,False,False
0,59,156,OP_156,14,37,0,263,0,False,False,False
0,60,4,OP_004,14,17,64,0,0,False,True,False
0,61,16,OP_016,264,2,0,0,0,False,False,False
0,62,165,OP_165,13,35,-32,264,0,False,False,False
0,63,7,OP_007,13,9,14,0,0,False,False,False
0,64,30,OP_030,14,8,34,0,0,False,False,False
0,65,29,OP_029,14,13,84,0,0,False,False,False
0,66,50,OP_050,13,14,92,0,0,False,False,False
0,67,26,OP_026,13,68,82,0,0,False,False,False
0,68,11,OP_011,24,72,17,0,0,False,False,False
0,69,50,OP_050,15,14,34,0,0,False,False,False
0,70,3,OP_003,"[17, 18]","[18, 19]",None,None,2,False,False,False
0,71,25,OP_025,15,3,2,18,0,False,False,False
0,72,9,OP_009,13,15,19,0,0,False,False,False
0,73,30,OP_030,15,73,20,0,0,False,False,False
0,74,29,OP_029,15,13,87,0,0,False,False,False
0,75,50,OP_050,13,14,19,0,0,False,False,False
0,76,26,OP_026,13,77,97,0,0,False,False,False
0,77,11,OP_011,51,81,53,0,0,False,False,False
0,78,50,OP_050,16,14,54,0,0,False,False,False
0,79,3,OP_003,"[18, 19]","[20, 19]",None,None,2,False,False,False
0,80,25,OP_025,16,3,2,19,0,False,False,False
0,81,9,OP_009,13,16,19,0,0,False,False,False
0,82,30,OP_030,16,24,61,0,0,False,False,False
0,83,29,OP_029,16,13,28,0,0,False,False,False
0,84,0,OP_000,17,21,43,0,0,False,True,False
0,85,7,OP_007,13,9,17,0,0,False,False,False
0,86,9,OP_009,17,14,19,0,0,False,False,False
0,87,0,OP_000,18,22,43,0,0,False,True,False
0,88,5,OP_005,13,13,18,0,0,False,False,False
0,89,6,OP_006,"[13, 14]",None,None,None,3,False,False,False
0,90,9,OP_009,14,17,19,0,0,False,False,False
0,91,14,OP_014,17,2,0,0,0,False,False,False
0,92,2,OP_002,17,0,0,0,0,False,False,False
0,93,23,OP_023,13,3,1,0,0,False,False,False
0,94,30,OP_030,13,6,26,0,0,False,False,False
0,95,14,OP_014,17,3,0,0,0,False,False,False
0,96,29,OP_029,13,17,91,0,0,False,False,False
0,97,30,OP_030,17,87,15,0,0,False,False,False
0,98,14,OP_014,18,4,0,0,0,False,False,False
0,99,29,OP_029,17,18,58,0,0,False,False,False
0,100,9,OP_009,24,7,19,0,0,False,False,False
0,101,3,OP_003,"[26, 27]","[23, 24]",None,None,2,False,False,False
0,102,25,OP_025,24,3,2,27,0,False,False,False
0,103,9,OP_009,21,24,19,0,0,False,False,False
0,104,3,OP_003,"[23, 24]","[25, 24]",None,None,2,False,False,False
0,105,25,OP_025,21,3,2,24,0,False,False,False
0,106,16,OP_016,265,2,0,0,0,False,False,False
0,107,168,OP_168,18,11,28,265,0,False,False,False
0,108,21,OP_021,18,21,32,0,0,False,False,False
0,109,3,OP_003,"[20, 21]","[26, 24]",None,None,2,False,False,False
0,110,25,OP_025,18,3,2,21,0,False,False,False
0,111,0,OP_000,20,24,43,0,0,False,True,False
0,112,5,OP_005,18,18,20,0,0,False,False,False
0,113,6,OP_006,"[18, 19]",None,None,None,3,False,False,False
0,114,8,OP_008,20,27,89,0,0,False,False,False
0,115,24,OP_024,18,3,2,0,0,False,False,False
0,116,10,OP_010,19,68,96,0,0,False,False,False
0,117,30,OP_030,20,34,37,0,0,False,False,False
0,118,29,OP_029,20,19,47,0,0,False,False,False
0,119,32,OP_032,19,1,0,0,0,False,False,False
0,120,30,OP_030,21,33,12,0,0,False,False,False
0,121,49,OP_049,22,5,53,0,0,False,False,False
0,122,29,OP_029,21,22,2,0,0,False,False,False
0,123,9,OP_009,22,2,19,0,0,False,False,False
0,124,0,OP_000,24,33,43,0,0,False,True,False
0,125,5,OP_005,22,22,24,0,0,False,False,False
0,126,6,OP_006,"[22, 23]",None,None,None,3,False,False,False
0,127,10,OP_010,24,62,14,0,0,False,False,False
0,128,0,OP_000,25,34,43,0,0,False,True,False
0,129,50,OP_050,27,21,29,0,0,False,False,False
0,130,43,OP_043,0,0,0,0,0,False,False,False
0,131,2,OP_002,27,0,0,0,0,False,False,False
0,132,8,OP_008,28,35,50,0,0,False,False,False
0,133,17,OP_017,30,36,216,0,0,False,True,False
0,134,0,OP_000,31,37,43,0,0,False,True,False
0,135,7,OP_007,30,30,31,0,0,False,False,False
0,136,2,OP_002,30,0,0,0,0,False,False,False
0,137,33,OP_033,"[31, 32, 33]","[38, 39, 39]",None,None,2,False,False,False
0,138,34,OP_034,29,4,2,0,0,False,False,False
0,139,2,OP_002,29,0,0,0,0,False,False,False
0,140,17,OP_017,31,36,216,0,0,False,True,False
